hemp	hmp	ሀምፕ
gear	mrʃ	ማርሻ
label	mrk	ማርካ
marina	mrn	ማሮኒ
pine	msn	ማሰነ
musk	msk	ማስክ
crank	mnk	ማኒኮ
crux	mnt	ማንታ
twin	mnt	ማንታ
core	mnt	ማንታ
keynote	mnt	ማንታ
meat	mnt	ማንታ
gist	mnt	ማንታ
ladle	mnk	ማንካ
smudge	mkj	ማኪያ
macro	mkr	ማክሮ
honey	mʕr	ማዓር
equivalent	mʕr	ማዕረ
par	mʕr	ማዕረ
level	mʕr	ማዕረ
offing	mʕd	ማዕዶ
door	mʕt͡sʼ	ማዕጾ
goal	mʕt͡sʼ	ማዕጾ
gate	mʕt͡sʼ	ማዕጾ
mile	mjl	ማይል
mime	mjm	ማይም
mica	mjk	ማይካ
major	md͡ʒr	ማጆር
muffin	mfn	ማፊን
kiln	mftʼ	ማፍጢ
meter	mtr	ሜተር
meter	mtr	ሜትሮ
subway	mtr	ሜትሮ
scholar	mhr	ምሁር
colt	mhr	ምሂር
foal	mhr	ምሂር
creation	mhz	ምህዞ
invention	mhz	ምህዞ
fiction	mhz	ምህዞ
whole	mlʔ	ምሉእ
main	mlʔ	ምሉእ
fat	mlʔ	ምሉእ
round	mlʔ	ምሉእ
lot	mlʔ	ምሉእ
response	mlʃ	ምላሽ
reply	mlʃ	ምላሽ
replication	mlʃ	ምላሽ
ejaculation	mlqʰʷ	ምላቝ
transcription	mlʔ	ምላእ
skein	mlq	ምልቆ
pregnancy	mlʔ	ምልኦ
dictatorship	mlk	ምልኪ
vampire	mlk	ምሎክ
retention	mħz	ምሓዝ
attachment	mħz	ምሓዝ
censorship	mmj	ምምያ
acrimony	mrt	ምረት
acrimony	mrr	ምሩር
elect	mrt͡sʼ	ምሩጽ
choice	mrt͡sʼ	ምሩጽ
graduation	mrqʰ	ምራቐ
saliva	mrqʰ	ምራቕ
rust	mrt	ምራተ
thong	mrn	ምራን
strap	mrn	ምራን
marc	mrx	ምራኸ
calf	mrx	ምራኽ
contamination	mrz	ምራዘ
benediction	mrqʰ	ምርቓ
attraction	mrk	ምርኮ
booty	mrk	ምርኮ
trophy	mrk	ምርኮ
sap	mrw	ምርዋ
preference	mrt͡ʃʼ	ምርጫ
predilection	mrt͡ʃʼ	ምርጫ
alternative	mrt͡ʃʼ	ምርጫ
selection	mrt͡ʃʼ	ምርጫ
choice	mrt͡ʃʼ	ምርጫ
poll	mrt͡ʃʼ	ምርጫ
ballot	mrt͡ʃʼ	ምርጫ
election	mrt͡ʃʼ	ምርጫ
option	mrt͡ʃʼ	ምርጫ
metaphor	msl	ምሳሌ
paragon	msl	ምሳሌ
dictum	msl	ምሳሌ
lunch	msħ	ምሳሕ
parcel	msħ	ምሳሕ
image	msl	ምስሊ
adage	msl	ምስላ
image	msl	ምስላ
dictum	msl	ምስላ
dark	mʃt	ምሸት
night	mʃt	ምሸት
designation	mʃm	ምሻም
sale	mʃtʼ	ምሻጥ
sweet	mqr	ምቁር
nectar	mqr	ምቁር
partition	mql	ምቃል
division	mql	ምቃል
fraction	mql	ምቃል
section	mql	ምቃል
clip	mqʰs	ምቕሶ
establishment	mqʰʷm	ምቛም
construction	mqʰʷm	ምቛም
convenience	mt͡ʃʔ	ምቹእ
nice	mt͡ʃʔ	ምቹእ
fit	mt͡ʃʔ	ምቹእ
civilization	mt͡ʃt	ምቾት
comfort	mt͡ʃt	ምቾት
renunciation	mnn	ምነና
arm	mnt	ምናት
well	mnt͡ʃʼ	ምንጪ
origin	mnt͡ʃʼ	ምንጪ
asset	mnt͡ʃʼ	ምንጪ
fount	mnt͡ʃʼ	ምንጪ
font	mnt͡ʃʼ	ምንጪ
source	mnt͡ʃʼ	ምንጪ
fountain	mnt͡ʃʼ	ምንጪ
situation	mkn	ምከና
veteran	mkr	ምኩር
expert	mkr	ምኩር
sage	mkr	ምኩር
stag	mkt	ምክት
hog	mkt	ምክት
experiment	mkr	ምኮራ
miscarriage	mxd	ምኻድ
departure	mxd	ምኻድ
advice	mxr	ምኽሪ
homily	mxr	ምኽሪ
guidance	mxr	ምኽሪ
counsel	mxr	ምኽሪ
prescription	mxr	ምኽሪ
auto	mxʷn	ምዀነ
automobile	mxʷn	ምዀነ
cavalcade	mxʷn	ምዀነ
motor	mxʷn	ምዀነ
car	mxʷn	ምዀነ
machine	mxʷn	ምዀነ
dead	mwt	ምውት
sweet	mʕz	ምዑዝ
advice	mʕd	ምዕዶ
lecture	mʕd	ምዕዶ
counsel	mʕd	ምዕዶ
drain	mʕɡ	ምዕጎ
politic	mzn	ምዙን
classification	mdb	ምደባ
placement	mdb	ምደባ
classification	mdb	ምዳበ
earth	mdr	ምድሪ
ground	mdr	ምድሪ
territory	mdr	ምድሪ
category	mdb	ምድብ
class	mdb	ምድብ
rank	mdb	ምድብ
rating	mdb	ምድብ
brazier	mdd͡ʒ	ምድጃ
logic	mɡt	ምጉት
litigation	mɡʷt	ምጕት
lawsuit	mɡʷt	ምጕት
controversy	mɡʷt	ምጕት
regulation	mtʼn	ምጣነ
seduction	mt͡ʃʼw	ምጫወ
moral	mrl	ሞራል
planet	mrs	ሞርስ
morocco	mrk	ሞሮኮ
offer	mbʔ	ሞባእ
engine	mtr	ሞተረ
motor	mtr	ሞተር
engine	mtr	ሞተር
motor	mtr	ሞቶር
engine	mtr	ሞቶር
thump	mxd	ሞኸደ
status	mjw	ሞያዊ
professional	mjw	ሞያዊ
practitioner	mjw	ሞያዊ
pro	mjw	ሞያዊ
hammer	mdʃ	ሞደ'ሸ
model	mdl	ሞደል
hammer	mdʃ	ሞደሻ
mallet	mdʃ	ሞዶሻ
praise	mɡs	ሞገስ
cylinder	mɡʔ	ሞጉእ
trustee	mɡz	ሞግዚ
caretaker	mɡz	ሞግዚ
eulogy	mɡs	ሞጎስ
sweat	rht͡sʼ	ረሃጽ
array	rmm	ረመመ
rhythm	rmt	ረምታ
barrage	rmt	ረምታ
lull	rrw	ረረወ
glow	rsn	ረሰነ
hog	rsħ	ረሳሕ
pig	rsħ	ረሳሕ
foul	rsħ	ረሳሕ
randy	rsn	ረሳን
heat	rsn	ረስኒ
excitement	rsn	ረስኒ
fever	rsn	ረስኒ
bid	rqʰħ	ረቑሐ
ghost	rqʰqʰ	ረቒቕ
factor	rqʰʷħ	ረቛሒ
bidder	rqʰʷħ	ረቛሒ
badger	rbt͡sʼ	ረበጸ
wednesday	rbʕ	ረቡዕ
beneficiary	rbħ	ረባሒ
urchin	rbʃ	ረባሺ
advantage	rbħ	ረብሓ
profit	rbħ	ረብሓ
vantage	rbħ	ረብሓ
agitation	rbʃ	ረብሻ
retina	rtn	ረቲና
win	rtʕ	ረትዐ
espy	rʔj	ረኣየ
spy	rʔj	ረኣየ
eye	rʔj	ረኣየ
visit	rʔj	ረኣየ
knit	rkm	ረከመ
taint	rxs	ረኸሰ
gain	rxb	ረኸበ
revere	rxb	ረኸበ
hit	rxb	ረኸበ
command	rxb	ረኸበ
find	rxb	ረኸበ
finder	rxb	ረኻቢ
panic	rʕd	ረዓደ
deputy	rdt	ረዳት
reinforcement	rdt	ረዳት
aide	rdt	ረዳት
assistant	rdt	ረዳት
mate	rdt	ረዳት
relief	rdt	ረዳት
aid	rdʔ	ረድአ
assist	rdʔ	ረድአ
reggae	rɡj	ረገይ
oppressor	rɡt͡sʼ	ረገጸ
kick	rɡħ	ረግሐ
freeze	rɡʔ	ረግአ
carrier	rfʕ	ረፋዕ
porter	rfʕ	ረፋዕ
morning	rfd	ረፍዲ
roulette	rlt	ሩለት
purr	rrt	ሩርታ
russia	rsj	ሩስያ
yogurt	rɡʔ	ሩግኦ
pool	rhj	ራህያ
pond	rhj	ራህያ
moisture	rħs	ራሕሲ
ground	rħq	ራሕቂ
nakedness	rqʰt	ራቖት
nudity	rqʰt	ራቖት
vision	rʔj	ራእይ
revelation	rʔj	ራእይ
panic	rʕd	ራዕዲ
terror	rʕd	ራዕዲ
funk	rʕd	ራዕዲ
horror	rʕd	ራዕዲ
rice	rjs	ራይስ
radio	rdj	ራዲዮ
radar	rdr	ራዳር
chassis	rdj	ራድዮ
transmission	rdj	ራድዮ
wireless	rdj	ራድዮ
radio	rdj	ራድዮ
rugby	rɡb	ራግቢ
sweat	rht͡sʼ	ርሀጽ
broad	rħb	ርሒብ
patrimony	rsqʰ	ርሰቓ
pencil	rss	ርሳስ
forgetting	rsʕ	ርሳዐ
forgetfulness	rsʕ	ርሳዐ
limbo	rsʕ	ርሳዕ
manor	rst	ርስቲ
domain	rst	ርስቲ
house	rʃn	ርሻን
building	rʃn	ርሻን
perturbation	rbʃ	ርበሻ
multiple	rbħ	ርባሕ
product	rbħ	ርባሕ
quarter	rbʕ	ርብዒ
assignment	rtb	ርተባ
reason	rtʕ	ርትዒ
self	rʔs	ርእሰ
head	rʔs	ርእሲ
nut	rʔs	ርእሲ
pate	rʔs	ርእሲ
risk	rks	ርከሳ
pool	rks	ርኩስ
opulence	rkb	ርካብ
communication	rkb	ርክብ
contact	rkb	ርክብ
liaison	rkb	ርክብ
relevance	rkb	ርክብ
association	rkb	ርክብ
meeting	rkb	ርክብ
tryst	rkb	ርክብ
magnate	rxb	ርኹብ
opulence	rxb	ርኻብ
beast	rɡm	ርጉም
stable	rɡʔ	ርጉእ
quiet	rɡʔ	ርጉእ
thickness	rɡd	ርጉዲ
gauge	rɡd	ርጉዲ
pigeon	rɡb	ርግቢ
curd	rɡʔ	ርግኦ
percussion	rt͡sʼm	ርጽ'ም
pomegranate	rmn	ሮማን
Wednesday	rbʕ	ሮቡዕ
robin	rbn	ሮቢን
gull	rbr	ሮብራ
robot	rbt	ሮቦት
automation	rbt	ሮቦት
rand	rnd	ሮንዳ
missile	rkt	ሮኬት
rocket	rkt	ሮኬት
rosette	rzt	ሮዘት
swing	sll	ሰለል
seesaw	sll	ሰለል
deck	slm	ሰለመ
gem	slm	ሰለመ
garnish	slm	ሰለመ
prank	slm	ሰለመ
award	slm	ሰለመ
tool	slm	ሰለመ
triple	sls	ሰለሰ
slide	slxʷ	ሰለዀ
scout	slj	ሰለየ
spy	slj	ሰለየ
leg	slf	ሰለፍ
thigh	slf	ሰለፍ
tuesday	sls	ሰሉስ
trio	sls	ሰሉስ
peace	slm	ሰላም
plant	slj	ሰላዪ
detective	slj	ሰላዪ
espionage	slj	ሰላዪ
spy	slj	ሰላዪ
agent	slj	ሰላይ
lettuce	sltʼ	ሰላጣ
salad	sltʼ	ሰላጣ
table	sld	ሰሌዳ
blackboard	sld	ሰሌዳ
plate	sld	ሰሌዳ
scale	sld	ሰሌዳ
trestle	sld	ሰሌዳ
board	sld	ሰሌዳ
quagmire	slm	ሰልሚ
mire	slm	ሰልሚ
morass	slm	ሰልሚ
money	sld	ሰልዲ
coin	sld	ሰልዲ
brass	sld	ሰልዲ
laugh	sħqʰ	ሰሓቐ
allure	sħb	ሰሓበ
tow	sħb	ሰሓበ
tug	sħb	ሰሓበ
draw	sħb	ሰሓበ
recall	sħb	ሰሓበ
miss	sħt	ሰሓተ
tack	smr	ሰመ'ረ
soap	smn	ሰመነ
bid	smj	ሰመየ
mention	smj	ሰመየ
call	smj	ሰመየ
week	smn	ሰሙን
auditor	smʕ	ሰማዒ
hearer	smj	ሰማያ
listener	smj	ሰማያ
heaven	smj	ሰማይ
sky	smj	ሰማይ
north	smn	ሰሜን
wax	smʕ	ሰምዐ
listen	smʕ	ሰምዐ
base	srt	ሰረ'ተ
bone	srqʰ	ሰረቐ
rob	srqʰ	ሰረቐ
sneak	srqʰ	ሰረቐ
steal	srqʰ	ሰረቐ
base	srt	ሰረተ
build	srt	ሰረተ
basis	srt	ሰረት
stronghold	srt	ሰረት
foundation	srt	ሰረት
heredity	srt	ሰረት
gene	srt	ሰረት
survival	srt	ሰረት
groundwork	srt	ሰረት
repeal	srz	ሰረዘ
maker	srħ	ሰራሒ
wright	srħ	ሰራሒ
rider	srr	ሰራሪ
burglar	srqʰ	ሰራቒ
penitentiary	srj	ሰራዪ
manufacture	srħ	ሰርሐ
make	srħ	ሰርሐ
produce	srħ	ሰርሐ
act	srħ	ሰርሐ
function	srħ	ሰርሐ
nostril	srn	ሰርኖ
file	srʕ	ሰርዐ
range	srʕ	ሰርዐ
herb	ssɡ	ሰሰግ
gazelle	ssħ	ሰስሓ
poster	sqʰl	ሰቓሊ
break	sbr	ሰበረ
dash	sbr	ሰበረ
moss	sbb	ሰበባ
baize	sbn	ሰበን
indictment	sbx	ሰበኻ
parish	sbx	ሰበኻ
province	sbx	ሰበኻ
breaker	sbr	ሰባሪ
people	sbt	ሰባት
multiple	sbt	ሰባት
missionary	sbx	ሰባኺ
seventy	sbʕ	ሰብዓ
disc	stt	ሰተታ
disk	stt	ሰተታ
drink	stj	ሰተየ
alcoholic	stj	ሰታይ
senate	snt	ሰነት
paper	snd	ሰነድ
document	snd	ሰነድ
wolf	snɡ	ሰነገ
monday	snj	ሰኑይ
manufacturer	snʕ	ሰናዒ
produce	snʕ	ሰንዐ
manufacture	snʕ	ሰንዐ
penknife	sntʼ	ሰንጢ
paint	sʔl	ሰኣለ
trace	sʔl	ሰኣለ
film	sʔl	ሰኣለ
illustrator	sʔl	ሰኣሊ
photographer	sʔl	ሰኣሊ
lack	sʔn	ሰኣነ
miss	sʔn	ሰኣነ
schema	skm	ሰከም
load	skm	ሰከም
insert	sxʷʕ	ሰዅዐ
stud	sxʷʕ	ሰዅዐ
revolution	swr	ሰዉራ
grass	swħ	ሰውሒ
revolution	swr	ሰውራ
cough	sʕl	ሰዓል
coughing	sʕl	ሰዓል
kiss	sʕm	ሰዓመ
defeat	sʕr	ሰዓረ
win	sʕr	ሰዓረ
victor	sʕr	ሰዓሪ
tail	sʕb	ሰዓበ
result	sʕb	ሰዓበ
adherent	sʕb	ሰዓቢ
satellite	sʕb	ሰዓቢ
follower	sʕb	ሰዓቢ
pointer	sʕt	ሰዓት
watch	sʕt	ሰዓት
time	sʕt	ሰዓት
hour	sʕt	ሰዓት
term	sjm	ሰየመ
slope	sjf	ሰያፍ
sage	sjd͡ʒ	ሰይጅ
bench	sdqʰ	ሰደቓ
bureau	sdqʰ	ሰደቓ
desk	sdqʰ	ሰደቓ
celery	sdn	ሰደኖ
dispatch	sdd	ሰደደ
post	sdd	ሰደደ
export	sdd	ሰደደ
export	sdd	ሰደድ
butt	sdf	ሰደፍ
transmitter	sdd	ሰዳዲ
celery	sdn	ሰዴኖ
chair	sdj	ሰድያ
ford	sɡr	ሰገረ
trans	sɡr	ሰገር
sheath	sɡb	ሰገባ
scabbard	sɡb	ሰገባ
ostrich	sɡn	ሰገን
bow	sɡd	ሰገደ
lock	sɡtʼ	ሰጋጥ
flood gate	sɡtʼ	ሰጋጥ
fear	sɡʔ	ሰግአ
step	sɡm	ሰጎመ
kick	sɡɡ	ሰጎገ
pace	sɡʷm	ሰጐመ
advance	sɡʷm	ሰጐመ
lock	stʼm	ሰጠመ
display	stʼħ	ሰጥሓ
roost	sfr	ሰፈረ
location	sfr	ሰፈር
habitat	sfr	ሰፈር
case	sfr	ሰፈር
camp	sfr	ሰፈር
nest	sfr	ሰፈር
sheath	sfr	ሰፈር
stitch	sfj	ሰፈየ
cruise	sff	ሰፈፈ
scud	sff	ሰፈፈ
wax	sff	ሰፈፍ
broad	sfħ	ሰፊሕ
ocean	sfħ	ሰፊሕ
squatter	sfr	ሰፋሪ
settler	sfr	ሰፋሪ
navigator	sff	ሰፋፊ
aerial	sff	ሰፋፊ
float	sff	ሰፋፊ
participation	stf	ሱታፌ
silica	slk	ሲሊካ
siren	srn	ሲረና
civilian	svl	ሲቪል
movie	snm	ሲነማ
studio	snm	ሲነማ
cinema	snm	ሲነማ
cynic	snk	ሲኒክ
underworld	sʔl	ሲኦል
sierra	sjr	ሲያራ
cedar	sdr	ሲዳር
motif	slm	ሳላሚ
lettuce	sltʼ	ሳላጣ
salad	sltʼ	ሳላጣ
salon	sln	ሳሎን
sofa	sln	ሳሎን
laughter	sħqʰ	ሳሓቕ
frolic	sħq	ሳሕቂ
soap	smn	ሳሙና
samba	smb	ሳምባ
tablet	smn	ሳምና
tombstone	smʕ	ሳምዕ
rocket	srx	ሳሩኽ
spider	srt	ሳሬት
serum	srm	ሳርማ
cereal	sbl	ሳብል
sable	sbl	ሳብል
satin	stn	ሳቲን
bayonet	snd͡ʒ	ሳንጃ
bag	sntʼ	ሳንጣ
valise	sntʼ	ሳንጣ
case	sntʼ	ሳንጣ
satchel	sntʼ	ሳንጣ
shoe	sʔn	ሳእኒ
oats	sʕʕ	ሳዓዕ
thatch	sʕr	ሳዕሪ
forage	sʕr	ሳዕሪ
grass	sʕr	ሳዕሪ
sine	sjn	ሳይን
carpet	sjd	ሳይደ
sedan	sdɲ	ሳደኛ
maiden	sdl	ሳዱላ
box	st͡sʼn	ሳጹን
canister	st͡sʼn	ሳጹን
container	st͡sʼn	ሳጹን
crate	st͡sʼn	ሳጹን
safari	sfr	ሳፋሪ
spider	sft	ሳፌት
intelligence	sll	ስለላ
espionage	sll	ስለላ
patrol	sll	ስለላ
triple	sls	ስሉስ
victim	slb	ስሉብ
booty	slb	ስሉብ
sloth	slz	ስሉዝ
sloop	slp	ስሉፕ
trinity	sls	ስላሴ
goad	slʕ	ስላዕ
slug	slɡ	ስላግ
pattern	slm	ስልመ
sauce	sls	ስልሲ
tactics	slt	ስልቲ
telephone	slk	ስልኪ
wire	slk	ስልኪ
laugh	sħqʰ	ስሓቕ
pull	sħb	ስሓበ
basin	sħn	ስሓኒ
bidder	smj	ስሙይ
contamination	smm	ስማመ
smack	smk	ስማክ
bidder	smj	ስማይ
citation	smt	ስሜታ
wax	smʕ	ስምዒ
mention	smj	ስምያ
repeal	srz	ስረዛ
instant	srħ	ስሩሕ
activity	srħ	ስራሕ
labor	srħ	ስራሕ
preoccupation	srħ	ስራሕ
job	srħ	ስራሕ
function	srħ	ስራሕ
occupation	srħ	ስራሕ
employment	srħ	ስራሕ
situation	srħ	ስራሕ
work	srħ	ስራሕ
trade	srħ	ስራሕ
charm	srj	ስራይ
remission	srt	ስሬት
larceny	srq	ስርቂ
felony	srq	ስርቂ
theft	srq	ስርቂ
swindle	srq	ስርቂ
sinus	srn	ስርኖ
vulture	ssʕ	ስሱዕ
pig	ssʕ	ስሱዕ
hog	ssʕ	ስሱዕ
egoism	ssʕ	ስስዐ
ostracism	sqt	ስቀት
cross	sqʰj	ስቓይ
heartache	sqʰj	ስቓይ
torture	sqʰj	ስቓይ
fat	sbħ	ስቡሕ
fracture	sbr	ስባር
rubble	sbr	ስባር
grease	sbħ	ስብሒ
fat	sbħ	ስብሒ
lard	sbħ	ስብሒ
cream	sbq	ስብቆ
private	str	ስቱር
stucco	stk	ስቱኮ
cripple	snf	ስኑፍ
harmony	snt	ስኒት
oneness	snt	ስኒት
agreement	snt	ስኒት
accordance	snt	ስኒት
compatibility	snt	ስኒት
concord	snt	ስኒት
tune	snt	ስኒት
cosmos	snt	ስኒት
provision	snq	ስንቂ
profile	sʔl	ስኣለ
image	sʔl	ስእሊ
painting	sʔl	ስእሊ
figure	sʔl	ስእሊ
portrait	sʔl	ስእሊ
photo	sʔl	ስእሊ
photograph	sʔl	ስእሊ
picture	sʔl	ስእሊ
illustration	sʔl	ስእሊ
drawing	sʔl	ስእሊ
skate	skt	ስኬት
insertion	skʷʕ	ስኳዕ
swan	swn	ስዋን
occult	swr	ስውር
jargon	swj	ስውይ
loser	sʕr	ስዑር
adherent	sʕb	ስዓቢ
nomination	sjm	ስዩም
nominee	sjm	ስዩም
terminology	sjm	ስያመ
nomination	sjm	ስያመ
bank	sjf	ስያፍ
cant	sjf	ስያፍ
deflection	sjt	ስይታ
emigration	sdt	ስደት
exodus	sdt	ስደት
immigration	sdt	ስደት
span	sdr	ስድሪ
household	sdr	ስድራ
home	sdr	ስድራ
family	sdr	ስድራ
barley	sɡm	ስገም
step	sɡm	ስጉሚ
latch	sɡtʼ	ስጋጥ
pace	sɡʷm	ስጓመ
radical	sɡʷm	ስጓማ
flat	stʼħ	ስጡሕ
stitch	sfj	ስፋ'ይ
seam	sfj	ስፋይ
stitch	sft	ስፌት
site	sfr	ስፍራ
place	sfr	ስፍራ
bridge	srn	ሶርኖ
sonnet	snt	ሶነት
sonata	snt	ሶናታ
bayonet	snk	ሶንኪ
fawn	ʃħr	ሸሓረ
plate	ʃħn	ሸሓኒ
cajole	ʃħtʼ	ሸሓጠ
butter	ʃħtʼ	ሸሓጠ
demagogue	ʃħtʼ	ሸሓጢ
garlic	ʃmt	ሸመታ
windmill	ʃrr	ሸረሮ
nick	ʃrf	ሸረፈ
bin	ʃrf	ሸሩፍ
tape	ʃrtʼ	ሸሪጥ
ribbon	ʃrtʼ	ሸሪጥ
nick	ʃrf	ሸራፍ
pap	ʃrb	ሸርበ
cholera	ʃrx	ሸሮኽ
proletariat	ʃql	ሸቃሎ
sting	ʃqt	ሸቅታ
prick	ʃqt	ሸቅታ
trade	ʃqʰtʼ	ሸቐጥ
merchandise	ʃqʰtʼ	ሸቐጥ
twinge	ʃqʰt	ሸቕታ
prick	ʃqʰt	ሸቕታ
slipper	ʃbtʼ	ሸበጥ
value	ʃnn	ሸነነ
side	ʃnx	ሸነኽ
rating	ʃnn	ሸናኒ
burden	ʃkm	ሸከም
sprint	ʃkʷxʷ	ሸኰዀ
dig	ʃxl	ሸኸለ
scorch	ʃxxʷ	ሸኾዅ
flurry	ʃwt	ሸውታ
seller	ʃjtʼ	ሸያጢ
vendor	ʃjtʼ	ሸያጢ
salesman	ʃjtʼ	ሸያጢ
clerk	ʃjtʼ	ሸያጢ
lock	ʃɡtʼ	ሸገጠ
lock	ʃɡr	ሸጎረ
tuck	ʃɡtʼ	ሸጎጠ
latch	ʃɡʷr	ሸጐረ
veneer	ʃfn	ሸፈነ
wrap	ʃfn	ሸፈነ
cap	ʃfn	ሸፈነ
fold	ʃfn	ሸፈነ
lap	ʃfn	ሸፈነ
coat	ʃfn	ሸፈነ
cocoon	ʃfn	ሸፈነ
mask	ʃfn	ሸፈነ
dishonesty	ʃftʼ	ሸፈጥ
malpractice	ʃftʼ	ሸፈጥ
skim	ʃff	ሸፈፈ
chieftain	ʃmɲ	ሹመኛ
dignitary	ʃmɲ	ሹመኛ
chamois	ʃmw	ሻምዋ
asparagus	ʃmt	ሻሞት
partisan	ʃrɲ	ሻረኛ
muffler	ʃrb	ሻርባ
slipper	ʃbt	ሻባቶ
sprig	ʃbtʼ	ሻቦጥ
switch	ʃbtʼ	ሻቦጥ
tack	ʃll	ሽላ'ሎ
disc	ʃħn	ሽሓኒ
disk	ʃħn	ሽሓኒ
incantation	ʃħr	ሽሕር
appointment	ʃmt	ሽመት
success	ʃmt	ሽመት
candle	ʃmʕ	ሽምዓ
groin	ʃmtʼ	ሽምጢ
loin	ʃmtʼ	ሽምጢ
canvas	ʃrʕ	ሽራዕ
band	ʃrtʼ	ሽራጥ
bar	ʃrtʼ	ሽራጥ
stripe	ʃrtʼ	ሽራጥ
associate	ʃrk	ሽርካ
partner	ʃrk	ሽርካ
breach	ʃrf	ሽሮፍ
syrup	ʃrp	ሽሮፖ
hiss	ʃʃt	ሽሽታ
drainage	ʃqqʰ	ሽቃቕ
toilet	ʃqʰqʰ	ሽቓቕ
hiatus	ʃbr	ሽበራ
terrorism	ʃbr	ሽበራ
terror	ʃbr	ሽበራ
soap	ʃbn	ሽበን
stylus	ʃtl	ሽቶል
pod	ʃtl	ሽቶል
estimate	ʃnn	ሽነና
determination	ʃnn	ሽነና
estimation	ʃnn	ሽነና
piss	ʃnt	ሽንቲ
urine	ʃnt	ሽንቲ
evaluation	ʃnn	ሽንን
appraisal	ʃnn	ሽንን
sonnet	ʃntʼ	ሽንጢ
sanitation	ʃntʼ	ሽንጢ
sugar	ʃkr	ሽኮር
sugar	ʃkʷr	ሽኰር
picket	ʃxl	ሽኻል
stake	ʃxl	ሽኻል
hoof	ʃxn	ሽኾና
circulation	ʃjtʼ	ሽያጥ
cigarette	ʃɡr	ሽጋራ
difficulty	ʃɡr	ሽግር
complexity	ʃɡr	ሽግር
mire	ʃɡr	ሽግር
problem	ʃɡr	ሽግር
hoax	ʃtʼr	ሽጣራ
trick	ʃtʼr	ሽጣራ
artifice	ʃtʼr	ሽጣራ
cheat	ʃtʼr	ሽጣራ
veneer	ʃfn	ሽፋን
rug	ʃfn	ሽፋን
coat	ʃfn	ሽፋን
membrane	ʃfn	ሽፋን
sheath	ʃfn	ሽፋን
cocoon	ʃfn	ሽፋን
bandit	ʃft	ሽፍታ
outlaw	ʃft	ሽፍታ
peter	qhm	ቀሃመ
ink	qlm	ቀለመ
paint	qlm	ቀለም
colour	qlm	ቀለም
ink	qlm	ቀለም
polish	qlm	ቀለም
food	qlb	ቀለብ
fry	qlw	ቀለወ
skin	qltʼ	ቀለጠ
strip	qltʼ	ቀለጠ
peel	qltʼ	ቀለጠ
plain	qll	ቀሊል
picnic	qll	ቀሊል
armature	qls	ቀላ'ሲ
pivot	qls	ቀላሲ
differential	qls	ቀላሲ
feeder	qlb	ቀላቢ
lake	qlj	ቀላይ
heart	qlb	ቀልቢ
retention	qlb	ቀልቢ
sense	qlb	ቀልቢ
thought	qlb	ቀልቢ
consciousness	qlb	ቀልቢ
punt	qlʕ	ቀልዐ
bat	qlʕ	ቀልዐ
tee	qlʕ	ቀልዐ
boot	qlʕ	ቀልዐ
umbrage	qħr	ቀሓር
spice	qmm	ቀመም
computation	qmr	ቀመር
nave	qmr	ቀመር
calculation	qmr	ቀመር
formula	qmr	ቀመር
cupola	qmr	ቀመር
tunic	qms	ቀሚስ
skirt	qms	ቀሚስ
cloth	qms	ቀሚስ
cloth	qmʃ	ቀሚሽ
chemist	qmm	ቀማ'ሚ
gourmet	qms	ቀማሲ
dress	qmʃ	ቀምሽ
nap	qmt	ቀምታ
approach	qrb	ቀረበ
help	qrb	ቀረበ
supply	qrb	ቀረበ
close	qrb	ቀረባ
stock	qrb	ቀረብ
supply	qrb	ቀረብ
throw	qrt͡sʼ	ቀረጸ
chase	qrt͡sʼ	ቀረጸ
sculpture	qrt͡sʼ	ቀረጸ
shape	qrt͡sʼ	ቀረጸ
tariff	qrt͡sʼ	ቀረጽ
toll	qrt͡sʼ	ቀረጽ
tax	qrt͡sʼ	ቀረጽ
duty	qrt͡sʼ	ቀረጽ
rate	qrt͡sʼ	ቀረጽ
excise	qrt͡sʼ	ቀረጽ
taxation	qrt͡sʼ	ቀረጽ
hull	qrf	ቀረፈ
peel	qrf	ቀረፈ
scale	qrf	ቀረፈ
stubble	qrm	ቀሪም
horn	qrn	ቀርኒ
compulsion	qsb	ቀስቢ
coercion	qsb	ቀስቢ
obligation	qsb	ቀስቢ
constraint	qsb	ቀስቢ
arch	qst	ቀስተ
arc	qst	ቀስቲ
crossbow	qst	ቀስቲ
vault	qst	ቀስቲ
bow	qst	ቀስቲ
tinder	qʃm	ቀሸም
maple	qqb	ቀቁብ
cortege	qbr	ቀበረ
tribe	qbl	ቀቢላ
township	qbl	ቀቢላ
funeral	qbr	ቀብሪ
grease	qbʔ	ቀብአ
kill	qtl	ቀተለ
warp	qnn	ቀነነ
list	qnn	ቀነነ
tilt	qnn	ቀነነ
slant	qnn	ቀነነ
principal	qnd	ቀንዲ
prime	qnd	ቀንዲ
grand	qnd	ቀንዲ
chief	qnd	ቀንዲ
veto	qwf	ቀወፈ
static	qwm	ቀዋሚ
crisis	qws	ቀውሲ
harvest	qwʕ	ቀውዒ
autumn	qwʕ	ቀውዒ
veto	qwf	ቀውፊ
propeller	qzf	ቀዛፊ
transform	qjr	ቀየረ
shift	qjr	ቀየረ
change	qjr	ቀየረ
convert	qjr	ቀየረ
transfer	qjr	ቀየረ
survey	qjs	ቀየሰ
